Kingdom	Phylum	Class	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Archaea	Euryarchaeota	Methanobacteria	1140	658	1106	499	1698	1469	457	1008	880	1252	2240	1239	137	2195	163	175	1416	334	547	824	131	1046	1503	448	194	172	686	23	180	1671	308	932	1821	11	2304	147	644	1669	248	627	658	220	1119	24	179	4839	4096	2855	897	843	49	659	3272	145	230	4777	28	1015	378	685	703	1993	334
Archaea	Thermoplasmatota	Thermoplasmata	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Bacteria	Actinobacteriota	Actinobacteria	2811	955	5156	1167	4917	3719	3356	1489	5750	1167	1290	3418	2459	1748	638	3009	16421	3658	9185	7998	7927	20406	3232	388	10979	5068	6007	503	3568	23194	727	7392	6168	6675	22736	16220	583	17730	611	6551	593	643	4841	2434	2761	7991	2673	1398	1655	6133	2338	6576	1890	135	14220	1286	1543	669	1892	6712	11836	6437	402
Bacteria	Actinobacteriota	Coriobacteriia	3393	4997	1595	3216	4500	3985	1761	4447	5069	1606	8567	7217	4226	3129	1467	3115	9617	2626	3446	2721	3052	5713	4808	500	1259	4527	1400	2266	3918	2054	515	7696	2173	983	4590	705	190	4510	2148	425	15797	4059	4107	1818	2013	4289	3381	5875	4086	3612	3311	1145	5346	584	1856	3744	691	2044	1713	3963	1514	1577	639
Bacteria	Actinobacteriota	Rubrobacteria	0	0	0	0	0	17	0	0	0	0	0	0	0	0	3	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Thermoleophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	1481	6479	3915	8473	8679	3609	1320	14869	3845	6306	27427	10630	2886	1487	9490	18354	3856	34692	27176	6384	5669	7988	3002	3757	11114	1205	14097	40250	4955	5960	80719	25393	9378	41401	32124	35833	35179	3057	21682	9787	14149	15522	16654	8429	13214	15520	19572	3578	19073	3776	20351	3815	7866	85819	6124	5205	4444	16344	31382	1709	1254	6016	24106
Bacteria	Campylobacterota	Campylobacteria	0	3	0	0	0	2	26	0	0	0	3	0	0	0	0	0	0	9	32	6	0	0	0	3	0	0	7	0	33	0	11	8	0	0	4	29	26	0	5	9	0	14	11	4	0	27	13	0	4	0	0	0	7	5	4	10	0	34	24	0	0	38	22
Bacteria	Chloroflexi	Chloroflexia	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	Cyanobacteriia	23	0	0	4	0	5	17	4	0	6	9	10	0	6	0	10	23	0	5	7	4	0	0	2	0	7	3	0	9	10	0	11	3	0	13	0	3	0	0	14	21	29	5	0	12	15	16	9	7	11	9	10	15	0	3	3	3	6	7	17	15	0	7
Bacteria	Cyanobacteria	Vampirivibrionia	48	222	103	751	117	325	47	521	261	292	502	310	54	32	154	138	4	0	8	173	79	97	416	7	48	183	569	6	321	111	0	256	77	0	8	14	22	4	31	46	105	56	0	25	12	151	1025	503	97	514	29	33	153	0	8	176	0	110	56	349	15	109	38
