Kingdom	Phylum	Class	Order	Family	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	1140	658	1106	499	1698	1469	457	1008	880	1252	2240	1239	137	2195	163	175	1416	334	547	824	131	1046	1503	448	194	172	686	23	180	1671	308	932	1821	11	2304	147	644	1669	248	627	658	220	1119	24	179	4839	4096	2855	897	843	49	659	3272	145	230	4777	28	1015	378	685	703	1993	334
Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	18	8	11	0	6	14	2	0	32	0	0	0	0	35	0	21	488	655	174	215	75	78	66	18	92	77	162	0	163	165	15	278	14	88	454	415	0	412	62	32	36	0	115	15	87	153	64	15	30	51	91	94	9	0	346	0	11	0	47	27	240	282	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	162	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	2152	511	1149	736	2371	970	2842	319	4586	1010	1045	2237	1476	1420	386	2514	15013	2229	6477	5926	7204	19816	2697	319	10362	4212	5392	439	3147	21968	577	6880	5857	5948	19367	11267	454	15630	352	6445	478	546	4491	2396	2606	7581	2444	1276	1266	5959	2104	6289	1813	5	13434	1245	1511	606	1805	6479	11389	5650	219
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	44	43	420	29	126	27	15	37	18	0	0	28	55	0	0	0	9	0	16	380	77	152	57	0	95	186	68	4	21	26	0	74	146	72	184	301	5	219	7	0	0	0	16	0	0	0	14	14	19	22	0	8	13	0	64	28	6	0	9	0	35	117	0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	0	0	16	0	37	0	0	0	13	0	0	0	0	0	0	0	0	19	34	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0	12	0	0	6	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	AKAU3644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	12	7	0	0	20	0	0	0	12	33	0	0	10	605	0	93	0	0	0	0	15	0	0	0	11	0	10	0	7	0	0	0	74	0	0	8	0	0	0	20	0
