Kingdom	Phylum	Class	Order	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	1140	658	1106	499	1698	1469	457	1008	880	1252	2240	1239	137	2195	163	175	1416	334	547	824	131	1046	1503	448	194	172	686	23	180	1671	308	932	1821	11	2304	147	644	1669	248	627	658	220	1119	24	179	4839	4096	2855	897	843	49	659	3272	145	230	4777	28	1015	378	685	703	1993	334
Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	18	8	11	0	6	14	2	0	32	0	0	0	0	35	0	21	488	655	174	215	75	78	66	18	92	77	162	0	163	165	15	278	14	88	454	415	0	412	62	32	36	0	115	15	87	153	64	15	30	51	91	94	9	0	346	0	11	0	47	27	240	282	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	162	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	2196	554	1585	765	2534	997	2861	356	4617	1010	1045	2265	1531	1420	386	2514	15022	2248	6533	6306	7281	19968	2754	319	10457	4398	5460	443	3168	21994	577	6954	6012	6020	19551	11577	459	15849	371	6445	478	552	4507	2396	2610	7581	2460	1290	1285	5981	2107	6297	1826	5	13498	1273	1517	606	1814	6479	11424	5767	219
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	597	383	3531	402	2377	2692	485	1133	1101	157	245	1153	924	293	252	474	902	730	2278	1428	541	339	384	51	401	566	348	60	237	1017	135	160	135	541	2624	3953	124	1402	165	74	70	85	183	21	40	228	143	93	238	86	130	185	55	122	369	13	11	32	31	44	172	352	183
Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	0	0	24	0	0	0	0	0	0	0	0	0	4	0	0	0	9	25	192	49	30	21	28	0	29	27	37	0	0	18	0	0	7	15	107	275	0	57	13	0	9	6	36	0	24	26	4	0	102	15	10	0	0	8	7	0	0	31	0	0	0	36	0
Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
