ASV_ID	Taxon	F_Group	P_Group	FDR_Group
ASV_00071	Family XI_W5053	144.4916674079343	9.198010749359728e-20	2.5662449990713644e-17
ASV_00008	Eubacteriaceae_Eubacterium	92.085342730199	1.434773605619773e-18	3.988670623622969e-16
ASV_00046	Family XI_Anaerococcus	80.25809539981505	2.5405300430208796e-16	7.037268219167836e-14
ASV_00030	Moraxellaceae_Acinetobacter	55.078285691690475	1.475257563440523e-13	4.0717108750958433e-11
ASV_00060	Lachnospiraceae_[Eubacterium] hallii group	52.62943535134308	2.751905757631514e-13	7.567740833486663e-11
ASV_00018	Butyricicoccaceae_Unclassified	52.41550295641291	3.6335032782208297e-13	9.955798982325073e-11
ASV_00009	Streptococcaceae_Streptococcus	46.81105169403642	1.1270840201837316e-12	3.076939375101587e-10
ASV_00099	Enterobacteriaceae_Escherichia-Shigella	64.4840695785062	5.375583015073926e-12	1.4621585801001078e-9
ASV_00020	Peptostreptococcaceae_Intestinibacter	40.53708044161452	1.673410419906633e-11	4.5349422379469755e-9
ASV_00354	Ruminococcaceae_Paludicola	40.5970434403877	2.5404095315806917e-11	6.859105735267868e-9
ASV_00277	Micrococcaceae_Micrococcus	49.816416253461995	1.1536619553121653e-10	3.1033506597897244e-8
ASV_00105	Staphylococcaceae_Jeotgalicoccus	35.25688918725896	2.1631449263062653e-10	5.797228402500791e-8
ASV_00094	Lachnospiraceae_Coprococcus	34.394058296003706	3.1895863781991627e-10	8.516195629791764e-8
ASV_00043	Tannerellaceae_Parabacteroides	32.89838298859877	5.04854315766622e-10	1.3429124799392145e-7
ASV_00300	Lachnospiraceae_Agathobacter	34.058165142832856	5.404685158611914e-10	1.4322415670321572e-7
ASV_00101	Enterococcaceae_Enterococcus	31.535943014126147	1.2005642582951075e-9	3.169489641899084e-7
ASV_00053	Carnobacteriaceae_Jeotgalibaca	31.394156559373457	1.4342693895886148e-9	3.772128494618057e-7
ASV_00201	Erysipelotrichaceae_Erysipelothrix	30.494294352771348	2.199260626499675e-9	5.762062841429149e-7
ASV_00016	Lachnospiraceae_Blautia	28.176906346356077	4.700552865630864e-9	1.2268442979296554e-6
ASV_00437	Anaerovoracaceae_[Eubacterium] nodatum group	28.23881752408238	8.958127732698614e-9	2.3291132105016397e-6
ASV_00189	Vagococcaceae_Vagococcus	44.97085067619308	1.525360502746751e-8	3.950683702114085e-6
ASV_00048	Aerococcaceae_Aerosphaera	25.133055884665385	5.066803270991556e-8	1.3072352439158215e-5
ASV_00256	Carnobacteriaceae_Atopostipes	28.898084642830334	5.522456653558966e-8	1.4192713599646542e-5
ASV_00291	Family XI_Peptoniphilus	26.184274277232348	5.7397224512344395e-8	1.4693689475160165e-5
ASV_00520	Caulobacteraceae_Brevundimonas	30.8348025344403	6.884154717622089e-8	1.7554594529936328e-5
ASV_00281	Actinomycetaceae_Flaviflexus	24.45575270343576	1.2946086436267508e-7	3.288305954811947e-5
ASV_00100	Lactobacillaceae_Weissella	24.574560159668216	1.7157854463581222e-7	4.340937179286049e-5
ASV_00179	Saccharimonadaceae_TM7a	26.75751874541838	2.0929843040607646e-7	5.274320446233127e-5
ASV_00197	Xanthomonadaceae_Stenotrophomonas	25.38815119096521	3.0781703916898743e-7	7.726207683141584e-5
ASV_00024	Unclassified_Unclassified	20.332343114510085	3.624542376723477e-7	9.061355941808692e-5
ASV_00108	Erysipelotrichaceae_Erysipelotrichaceae UCG-009	20.651994060827338	9.455042654432416e-7	2.3543056209536717e-4
ASV_00135	Dysgonomonadaceae_Dysgonomonas	21.25368569721652	1.2765594339309187e-6	3.165867396148678e-4
ASV_00049	Lachnospiraceae_Lachnospiraceae XPB1014 group	22.83811559989622	1.8769659152175487e-6	4.6361058105873454e-4
ASV_00199	Planococcaceae_Kurthia	27.43294567325119	2.111587780989554e-6	5.194505941234302e-4
ASV_00623	p-2534-18B5 gut group_Unclassified	65.56581329174888	3.571973769286572e-6	8.751335734752101e-4
ASV_00633	Lachnospiraceae_Lachnospiraceae UCG-010	18.835700998204963	3.7708429078243412e-6	9.200856695091393e-4
ASV_00650	Sphingobacteriaceae_Sphingobacterium	20.398009153417593	3.887833343714149e-6	9.447435025225383e-4
ASV_00440	Weeksellaceae_Unclassified	22.07565305770006	4.16842484027562e-6	0.0010087588113467001
ASV_00207	Dysgonomonadaceae_Proteiniphilum	22.789665162668218	5.6728586451370204e-6	0.001367158933478022
ASV_00039	Peptostreptococcaceae_Romboutsia	15.56420985685746	7.761967582463452e-6	0.0018628722197912286
ASV_00290	Lachnospiraceae_Marvinbryantia	15.889571078082827	8.65139195849205e-6	0.0020676826780796
ASV_00022	Lachnospiraceae_[Ruminococcus] gauvreauii group	15.12763668588421	9.580538666560955e-6	0.0022801682026415073
ASV_00154	Family XI_Helcococcus	15.417742365347667	9.6641841273537e-6	0.002290411638182827
ASV_00637	Micrococcaceae_Glutamicibacter	22.340146971888927	1.0085720361300212e-5	0.00238023000526685
ASV_00106	Prevotellaceae_Prevotella	13.979049599672837	2.0763111704618165e-5	0.0048793312505852685
ASV_00006	Ruminococcaceae_Ruminococcus	13.612476123389069	2.6689798591137773e-5	0.006245412870326239
ASV_02041	Campylobacteraceae_Campylobacter	36.10510748033111	2.9357442730221814e-5	0.006840284156141682
ASV_00503	Prevotellaceae_Prevotellaceae UCG-004	13.626260092491545	5.216398483135504e-5	0.01210204448087437
ASV_00280	Christensenellaceae_Christensenellaceae R-7 group	12.685131194773545	5.718138779813246e-5	0.013208900581368598
ASV_00366	Selenomonadaceae_Anaerovibrio	13.694771771913814	5.893584675204769e-5	0.013555244752970968
ASV_00406	Lachnospiraceae_Lachnoclostridium	13.637866848795067	6.462137878754772e-5	0.014798295742348427
ASV_00943	Devosiaceae_Devosia	19.798898600942408	7.261892799727591e-5	0.01655711558337891
ASV_00165	Lachnospiraceae_Unclassified	12.052337909904928	7.96092022396673e-5	0.018071288908404478
ASV_00097	Saccharimonadaceae_Candidatus Saccharimonas	12.58577821666889	8.389324282360621e-5	0.018959872878135005
