Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	W5053	2.172832295588629e-6	0.005653049628148048	4.3100894983590505	5.477607434310453e-13	3.3465382646115694e-12
Group2_vs_Group1	Anaerococcus	3.6874960183001826e-5	0.008785180823293395	3.8753406169868696	5.079883278085888e-9	3.1035491268305753e-8
Group2_vs_Group1	Eubacterium	3.2145869972378043e-4	0.026951293042759724	3.3710090058060627	5.4817943515467254e-8	2.800916821958181e-7
Group2_vs_Group1	Streptococcus	0.04364168204333949	0.005683687038334212	-3.3997545620823364	6.700375180358399e-8	4.0935868802627593e-7
Group2_vs_Group1	[Eubacterium] hallii group	0.01231492978947127	0.0014131812536768563	-2.6059586130808365	1.6796472953504523e-7	1.0261786760644736e-6
Group2_vs_Group1	Escherichia-Shigella	0.005777966209723431	1.5939826998919443e-4	-3.0673287767070834	6.059982551601825e-7	3.0963414497235608e-6
Group2_vs_Group1	Coprococcus	0.0047821627892029785	7.93654893372875e-4	-2.2353611783855856	5.498348860425358e-7	3.3592102161868798e-6
Group2_vs_Group1	Unclassified	0.025345332342735692	0.004673999415354542	-2.439282743988552	5.817450316842451e-6	2.972419869919501e-5
Group2_vs_Group1	Vagococcus	0.0019087395227128088	1.0821483913946185e-4	-2.5235380356949304	7.116131826279201e-6	4.347592947880067e-5
Group2_vs_Group1	[Eubacterium] nodatum group	6.842281589511999e-4	7.780822460401763e-5	-2.02656401058976	7.27146771741939e-6	4.442495240496372e-5
Group2_vs_Group1	Enterococcus	0.007308653019659036	0.0015824306511689071	-2.1977686188360015	9.547366180118503e-6	5.832952914422765e-5
Group2_vs_Group1	Agathobacter	0.0016666473321746336	2.2676047461138435e-4	-2.151298419464562	1.8279784564971545e-5	9.340035909109549e-5
Group2_vs_Group1	Blautia	0.042319289371192934	0.010543790308975641	-2.149606081770737	1.777238089029165e-5	1.0858016646112491e-4
Group2_vs_Group1	Jeotgalibaca	0.018829342855734513	0.002783608779799645	-2.3217779316998266	2.14342751863139e-5	1.3095246956893968e-4
Group2_vs_Group1	Acinetobacter	0.039857788555332015	0.01327948781260385	-2.3225407153181385	2.9984557325723857e-5	1.5320576735771316e-4
Group2_vs_Group1	Flaviflexus	3.4692933695665596e-5	6.902270737883192e-4	1.8716630599316029	3.15931127706269e-5	1.9301777656215122e-4
Group2_vs_Group1	Dysgonomonas	2.2758609542464908e-5	0.0031144245229878078	2.3990438924786317	4.647913027583454e-5	2.839637375246242e-4
Group2_vs_Group1	Peptoniphilus	3.5754130817366004e-5	0.0014518676596117547	2.0596903360229213	6.405576164466637e-5	3.9134797442763326e-4
Group2_vs_Group1	Proteiniphilum	9.570095976578529e-7	0.002029380207853051	2.197480001773992	7.516152672505594e-5	4.591985245903053e-4
Group2_vs_Group1	Campylobacter	5.499693709365724e-6	4.09196646836479e-6	-2.2453616514848687	1.3218975090911704e-4	8.076118358462114e-4
Group2_vs_Group1	Jeotgalicoccus	0.004322183456886229	0.002141465170318724	-1.83808105087095	2.895721606210349e-4	0.0014795657841950689
Group2_vs_Group1	Marvinbryantia	0.001475351507563572	2.084911798827721e-4	-1.6103035526559009	2.630690474209137e-4	0.001607217464900035
