pathway	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
12DICHLORETHDEG-PWY	71.25944834302828	102.1015483876113	403.06452631662245	50.95030703494123	310.5322167299837	523.2729141867763	54.67399758616066	256.0423378538322	163.54680407305946	0.0	61.875079072145525	170.4637549964371	86.95736708962981	0.0	37.28879364679188	35.020300783175	77.28684146163211	93.7657463021532	528.649815242071	237.03221428719235	67.43282107907534	62.93540063748745	132.48438649577093	8.88888888888889	75.4326076800897	131.5889041596032	118.26198795371168	13.644067796610168	0.0	3.9042884972566125	24.182861056416403	43.73673046523075	39.43885633934849	47.26167531504819	171.42434089696073	882.8660772886064	19.572815533980584	40.89022301684389	65.8523169335214	0.0	44.1090671308094	22.954019186238835	0.0	5.602367000732253	15.993074092778297	22.777553590913037	39.86184635742341	0.0	39.08226301814607	19.493360182925326	14.611856423582914	20.492780443048307	0.0	0.0	0.0	0.0	9.185301016419078	12.305428613339652	0.0	18.53013661934101	0.0	117.99529423159572	24.347826086956523
14DICHLORBENZDEG-PWY	564.1113088632509	152.9165569299307	235.39887163703756	193.80637838997188	738.6884004243021	301.05082108657825	604.903953448005	86.4773793140445	881.5864262990456	193.30687436336984	327.2568454687334	420.94630149370386	453.54080785673364	205.84584152661787	114.03389171657294	585.8941196751995	979.9906995060352	658.2643699436829	1353.630569727634	557.7345820935894	634.4081124113753	717.0394329799676	316.23042043873227	38.70550161812297	1410.4081318988403	542.7702737862489	523.8385933253303	76.83728971706138	310.28837681067546	1541.4339545565163	131.87452076328546	649.6795046730343	817.768418549926	487.8204529099777	2881.512839986351	718.9314179352525	69.82505623192544	871.089471884323	67.92652284492866	676.2486029879576	75.5361305660203	75.04968739717013	397.1533154725329	194.38722096824117	368.20158449103957	682.0058497119371	389.9618100672278	170.14974364904978	276.62569241850315	297.9277364505845	286.178187063131	774.2592019795854	325.87720045552146	20.328637466730772	800.1374981730785	156.69084531070072	69.3231498551488	93.14029491522629	234.60902311522932	155.03968964488215	253.86554621848742	593.4583643849625	16.634988215616207
1CMET2-PWY	124582.87754620917	131156.69497756957	120157.41076582276	154015.68940618716	207308.81275215096	208154.91561005014	140916.90606786704	187200.2395676679	173427.42962682163	59521.34070862764	300082.77999781125	218837.75394370186	232582.48989282313	102274.7191602045	148995.5191852433	152889.05606768155	104287.98843558326	106592.72462365204	250503.83414798774	139804.12108643362	141198.59766139014	234969.1502773435	164207.6878876492	79579.94444359002	233772.93636054147	162346.3381421686	182292.91760636013	208420.41598397252	162378.3958727862	124622.91895943716	169161.8670975179	236219.6967202509	196198.7837095311	225680.08869446022	193818.48989323364	176547.3204755947	157989.31318344464	184811.3851004472	136629.2845750092	200880.0782235961	245399.35116359865	217955.95604651622	223283.59061570305	171815.03229060856	203386.62815892522	210198.4491901915	164932.03095896056	169532.09305749054	208716.75301519307	141144.64733454745	212615.47497171364	185895.43162207335	166177.09014483014	142047.48376325707	197492.04118281862	224006.08730579913	149292.06924238842	214233.3755980379	169017.1825131689	280767.6266597181	147415.53684000496	183129.62741424437	236982.62137312823
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	2.5581263261129448	5.5961354544780715	0.0	26.09521999109457	22.438456439408906	10.504367773391248	0.0	0.0	0.0	0.0	0.0	15.64960621040194	0.0	0.0	0.0	11.229660437701645	0.0	0.0	0.0	0.0	5.325500508527221	0.0	0.0	0.0	0.0	14.249363887453194	0.0	0.0	0.0	0.0	0.0	0.0	69.6527727840417	7.895399697555756	0.0	2.386907767699268	0.0	3.3997478478023	0.0	0.0	20.4536886163129	0.0	0.0	0.0	0.0	0.0	5.903702481185889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.189700163872256
4-HYDROXYMANDELATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.866329977548343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.436824216808797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY	733.4821872410936	288.11808845997643	864.6061226689662	367.1315905516212	11144.156404681258	7304.966234681285	443.23256841547106	877.8570038816542	1233.1110672830441	41.888463379607465	1019.743735109587	3994.41922213471	6160.319098850884	182.94690641567797	1878.2540545383072	262.08903914442175	0.0	0.0	80.8826479438315	6.246823193952483	86.05512380685664	0.0	394.32124352331607	0.0	159.69109258446687	39.98473065699188	0.0	0.0	6.243711737259931	0.0	0.0	0.0	0.0	0.0	4599.200300585679	62.161268038667146	0.0	0.0	31.769528735502373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.73418656700203	0.0	16.910485933503836	0.0	0.0	0.0	0.0	0.0	0.0	169.14659285966542	0.0	435.44348447803026	0.0	0.0	0.0	0.0	1.4086218375499333
ALLANTOINDEG-PWY	2404.90473527663	1259.9266013547124	4004.380139803314	8017.937129507486	30845.990352930552	30635.978119523796	1595.3713956218887	3721.823302371049	4487.047217410166	525.1423641739614	4584.812103726609	13075.478150930327	13126.24375064585	1014.2408205526723	4134.866088650363	3797.9165904719057	116.3724110923094	441.8675357743055	22891.580885919302	1623.1624370673953	844.9218176707118	1377.8889552775463	5429.504647712015	103.53057197166481	2931.244404591181	2195.9831294003293	2653.9046699083597	293.0744013786214	2974.7764849009773	655.3327286741086	141.05627084074615	2891.5089926833093	395.1246666605098	192.8733045263598	11491.183069447625	9997.561299960991	175.53596176340213	422.4203678430628	348.2078179672237	233.4908698049606	148.24676122335754	69.53388238498155	1288.995850153869	41.136036201808594	223.92408682299143	653.1179271092236	2578.884588673332	57.79428682864576	352.16152831286075	1119.9346624710333	162.82689905869637	482.6848407325594	68.27704917506632	27.55170593593423	1529.9487195281467	2349.5101328569854	5.995485956046303	2391.024172864386	153.34003645267518	33.89241489876845	444.19797288338066	1106.395521198385	64.8556439035433
ANAEROFRUCAT-PWY	148957.37056691304	148722.79516768872	147956.78879894875	172658.52284230443	180648.63619955094	222000.94497983597	176775.04179275382	217351.59840892965	209307.6553635804	85801.23133537786	336138.3982816799	264078.1559093231	258718.12493319294	198594.5729141359	177901.35777835833	200623.9052023297	104146.26964271176	110976.8393513694	251865.04134666148	170446.8788884366	170867.90767696436	269179.91760388855	193709.8596898657	104047.29180082174	282998.5158514069	188954.73429245883	204469.76843770634	223930.60456879032	184418.47086085868	160060.70502297606	141642.2267793596	271199.37133546005	214493.62568057948	278463.69870993326	215851.61803689	192070.04920765982	142665.8692365371	244003.27058740312	94947.7533802007	268272.26947503985	172432.16026331607	123722.32451767543	263287.21583470126	195464.84177743198	224833.8228567361	240755.33976751106	134416.40956852277	199079.23885842835	212462.54060106017	170180.3936684953	231476.6551175456	141033.14843650983	152793.5811452205	130205.81586857833	251536.4526515026	182778.47117111826	184887.47347906607	235906.08013969255	203215.1940059014	371645.0238201449	205759.06838297105	203197.48183549035	252935.99986220652
ANAGLYCOLYSIS-PWY	182640.1453766838	181821.6960100128	187999.525041854	214728.44951293422	212417.0705467867	246432.51622041865	213087.2096900247	279282.9208022726	263824.48412243725	114292.23262143733	407804.097113707	325976.71737868886	306756.55212773336	262646.43690772983	251396.93050689466	249936.70753403625	127576.47631240396	152275.85305170473	307112.495399266	218960.99306110913	241797.04358857073	334307.23008301435	235046.96748597635	139595.93752437062	335409.5327451975	215612.16577980996	266021.9843893112	267462.84409639175	228872.7074499297	198132.4675651149	230180.60437278583	333231.21312547807	248494.90812961574	333485.10344177	251126.95333796088	221021.656329306	182644.45961635694	285082.5336600227	122833.7346915457	310482.44891101035	225232.99182678867	165517.34302279842	330342.75274894794	257589.16008341432	290176.88984487834	292666.1485253377	172063.62468153192	230913.51184742618	288354.4973011877	236233.46479940147	319892.9093897441	179613.56458737678	186439.3955078344	181089.1034887347	305275.9695176429	228759.6943724525	247353.24140978733	328223.9075278826	272302.83222276665	409679.79918255965	263347.39759574377	235071.56119845065	329931.22573030315
ARG+POLYAMINE-SYN	45712.10571434341	33766.611305584534	36783.10377282512	45735.17737450851	70914.34561818105	66749.67713090946	52796.38321974284	49294.89191007924	57872.620078609136	14711.902302717739	121652.045745373	71749.95406239879	58025.07965117458	19254.7573715591	34167.18182458908	34576.56471422519	17320.591497592355	10851.557047363736	74158.60500868624	57854.50490095005	46796.42257556125	84358.60877439902	71706.19701837702	34324.94021747125	95717.11869740262	89305.59363785751	72921.8587418252	68324.65449134732	65306.52805261128	39227.33171949623	50801.15285540732	94847.27261021291	90708.15255234532	86694.48847254264	76720.70456721526	73769.53336036921	42026.82130114978	74623.77783046983	17094.13036363095	98496.93162914447	92437.61920366368	81357.77614821862	36234.31408536321	53519.1530667621	75214.16359196726	87848.52004258407	86430.76933203852	81256.66951121838	70271.11711604353	37071.267659062585	66900.97417277115	64150.54234163539	73968.17932220247	38970.92332379599	72036.47380737195	89142.24158312389	43617.41772853335	48450.482830324116	56589.84796023615	157223.46669734613	46903.155451966755	92875.20576724799	96201.03633929088
